NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT02797782,Study of the Long Term Efficacy of Recombinant Hepatitis B Vaccine in Nile Delta of Egypt,https://beta.clinicaltrials.gov/study/NCT02797782,UNKNOWN,Hepatitis B Vaccines,OTHER: Detection of anti HBs antibody titer,Sherief Abd-Elsalam,,OBSERVATIONAL
NCT03393754,Immunogenicity and Safety of Sci-B-Vac® to Engerix-B® in Adults,https://beta.clinicaltrials.gov/study/NCT03393754,COMPLETED,Hepatitis B Vaccines,BIOLOGICAL: Hepatitis B Vaccination,VBI Vaccines Inc.,,INTERVENTIONAL
NCT03408730,Lot-to-lot Consistency of Sci-B-Vac™ in Adults,https://beta.clinicaltrials.gov/study/NCT03408730,COMPLETED,Hepatitis B Vaccines,BIOLOGICAL: Hepatitis B Vaccination,VBI Vaccines Inc.,,INTERVENTIONAL
NCT02898922,Robust Antibody and Cytokine Response to Hepatitis B Vaccine Among Not-in-treatment Patients With Chronic Hepatitis C：An Open-label Control Study in China,https://beta.clinicaltrials.gov/study/NCT02898922,COMPLETED,Hepatitis B Vaccines,BIOLOGICAL: hepatitis B vaccine made by Recombinant DNA Techniques in Saccharomyces Cerevisiae,Shandong Province Centers for Disease Control and Prevention,"Centers for Disease Control and Prevention, China|National Institutes for Food and Drug Control, China",INTERVENTIONAL
NCT05099757,The Immunogenicity and Persistence of Booster Dose With Hepatitis B Vaccine in College Students,https://beta.clinicaltrials.gov/study/NCT05099757,NOT_YET_RECRUITING,Hepatitis B Vaccine,BIOLOGICAL: 20 µg dose hepatitis B vaccine,Shanxi Medical University,,INTERVENTIONAL
NCT03962881,Research on Optimal Immunization Strategy of Hepatitis B Vaccine in Chronic Kidney Disease Population,https://beta.clinicaltrials.gov/study/NCT03962881,NOT_YET_RECRUITING,Hepatitis B Vaccine,"BIOLOGICAL: 20 µg recombinant hepatitis B vaccine at months 0, 1, and 6|BIOLOGICAL: 20 µg recombinant hepatitis B vaccine at months 0, 1, 2,and 6|BIOLOGICAL: 60 µg recombinant hepatitis B vaccine at months 0, 1, 2,and 6",Shanxi Medical University,"Centers for Disease Control and Prevention, China",INTERVENTIONAL
NCT03316807,Immunogenicity of Hepatitis B Vaccination in HIV-infected Adults,https://beta.clinicaltrials.gov/study/NCT03316807,COMPLETED,Hepatitis B Vaccine,BIOLOGICAL: 60 µg dose hepatitis B vaccine|BIOLOGICAL: 20 µg dose hepatitis B vaccine,Suping Wang,"Centers for Disease Control and Prevention, China",INTERVENTIONAL
NCT02963714,Immunogenicity of Hepatitis B Vaccination in Hemodialysis Patients,https://beta.clinicaltrials.gov/study/NCT02963714,COMPLETED,Hepatitis B Vaccine,BIOLOGICAL: 60 µg dose hepatitis B vaccine|BIOLOGICAL: 20 µg dose hepatitis B vaccine,Suping Wang,"Centers for Disease Control and Prevention, China",INTERVENTIONAL
NCT02991599,Immunogenicity of Hepatitis B Vaccination in Methadone Maintenance Treatment Patients,https://beta.clinicaltrials.gov/study/NCT02991599,COMPLETED,Hepatitis B Vaccine,BIOLOGICAL: 60 µg dose hepatitis B vaccine|BIOLOGICAL: 20 µg dose hepatitis B vaccine,Shanxi Medical University,"Centers for Disease Control and Prevention, China",INTERVENTIONAL
NCT03962803,Immunogenicity and Persistence of Hepatitis B Vaccination in HIV-Infected Patients,https://beta.clinicaltrials.gov/study/NCT03962803,NOT_YET_RECRUITING,Hepatitis B Vaccine,"BIOLOGICAL: 20 µg recombinant hepatitis B vaccine at months 0, 1, and 6|BIOLOGICAL: 20 µg recombinant hepatitis B vaccine at months 0, 1, 2, and 6|BIOLOGICAL: 60 µg recombinant hepatitis B vaccine at months 0, 1, 2, and 6",Shanxi Medical University,"Centers for Disease Control and Prevention, China",INTERVENTIONAL
